"gen_model","fit_model","K","K_hat_VI","K_hat_VI_a05","difficulty","rep","ari","vi","elpd_loo","p_loo","looic","pareto_k_max","pareto_k_share","mae_eta","bias_eta","cov_eta","mae_psi","bias_psi","cov_psi","mae_kappa","bias_kappa","cov_kappa","ess_eta","ac_eta","ess_psi","ac_psi","ess_kappa","ac_kappa","time_sec","thetaW_block_mean","thetaW_block_lo","thetaW_block_hi","thetaW_block_ess","thetaW_block_mcse","thetaS_block_mean","thetaS_block_lo","thetaS_block_hi","thetaS_block_ess","thetaS_block_mcse","cyc_block_mean","cyc_block_lo","cyc_block_hi","cyc_block_ess","cyc_block_mcse","thetaW_item_mean","thetaW_item_lo","thetaW_item_hi","thetaW_item_ess","thetaW_item_mcse","thetaS_item_mean","thetaS_item_lo","thetaS_item_hi","thetaS_item_ess","thetaS_item_mcse","prem_block_avg","prem_item_avg"
"WST","SST",6,5,5,"easy",5,0.635465762186911,0.714431435764021,-8654.57787579656,140.835611422628,17309.1557515931,2.21818062450575,0.0098989898989899,0.0936538131560539,2.21854869544846e-18,0.87,NA,NA,NA,0.200431382690187,-0.0462353181971727,0.75,3962.62767935595,0.20859111270392,2086.76552230156,0.269036195315536,3850.31869631029,0.199589849930165,828.375,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,10,2000
"WST","DC-SBM",6,6,6,"easy",5,1,0,-8438.3563679815,238.142114365086,16876.712735963,1.86821921987201,0.00161616161616162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735.351,1,1,1,0,NA,0.3293,0.2,0.45,4000,0.001,0,0,0,0,NA,0.9922,0.9824,0.9989,2856.5525,1e-04,0.3671,0.293,0.4506,4000,7e-04,19.676,1792.50175
"SST","WST",4,3,3,"easy",5,1,0.5,-9161.1285666937,116.863551293494,18322.2571333874,1.75999082360493,0.00484848484848485,0.0830249562111902,2.44287012493571e-17,0.95,NA,NA,NA,0.18991922931285,0.0142534364657165,0.6875,3976.39624603302,0.193556693222613,1908.51595084819,0.199233808191789,3083.53031311341,0.23762267406113,914.902,1,1,1,0,NA,0.9962,1,1,1360.2198,0.0017,0,0,0,0,NA,1,1,1,0,NA,0.9962,1,1,1360.2198,0.0017,0.9985,1997
"SST","SST",4,4,4,"easy",5,1,0,-8685.655966203,109.134723103388,17371.311932406,1.52516880767182,0.00646464646464646,0.0808460290542168,2.77555756156289e-17,0.93,0.0826996639989071,-0.0317633632349043,1,0.0324539260114258,0.00594401729817114,1,4022.26036261984,0.197867165055159,2324.90655519966,0.244058901102403,3920.67202957298,0.195420830215059,797.648999999999,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,4,2000
"SST","DC-SBM",4,4,4,"easy",5,0.876564759862351,0.443507111250463,-8743.422254382,228.763749062549,17486.844508764,1.29921278850628,0.00343434343434343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.001,1,1,1,0,NA,0.9952,1,1,2083.0343,8e-04,0,0,0,0,NA,1,0.9994,1,3296.8798,0,0.9708,0.8564,1,1665.6352,0.001,4,1660.8555
"SST","WST",5,4,4,"easy",5,0.941057764017974,0.590488455840589,-8384.77755459242,113.285493394357,16769.5551091848,1.46076041693807,0.00808080808080808,0.101511778161042,4.66349235703906e-17,0.87,NA,NA,NA,0.14634629592416,0.0490082716178551,0.88,4013.6572810434,0.202840082500481,2288.02201786337,0.199799124781195,4064.29778113513,0.192408755447878,982.130999999999,1,1,1,0,NA,0.9997,1,1,4000,2e-04,0,0,0,0,NA,1,1,1,0,NA,0.9997,1,1,4000,2e-04,3.9995,1999.77525
"SST","SST",5,5,5,"easy",5,0.857169088715178,0.551873578978408,-7957.65980232298,143.559130586767,15915.319604646,1.996162300435,0.0151515151515152,0.0957014599575137,4.10697138190225e-17,0.9,0.112805391925147,0.0902016100901109,1,0.0499062047696499,0.00295085718139156,0.92,4004.76732153337,0.1990777417184,1084.84181742597,0.327335250094352,3536.35581987102,0.204249663465239,844.076999999999,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,10,2000
"SST","DC-SBM",5,5,5,"easy",5,0.483111239264309,1.55672846348148,-80609309.0717283,80601509.5181529,161218618.143457,Inf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620.314,0.8089,0.3333,1,1023.3765,0.0072,0.4972,0,1,522.5413,0.0118,0.1154,0,0.4,565.6703,0.0051,0.8201,0.1425,1,120.8836,0.0219,0.5827,0.0381,0.9896,67.7533,0.0393,4.93775,565.529
"SST","WST",6,6,6,"easy",5,0.653898083507016,0.988952534733629,-9247.12422045113,188.1206056549,18494.2484409023,1.2578444123472,0.00525252525252525,0.0779306319621618,-4.43675857771803e-18,0.93,NA,NA,NA,0.11158745913529,-0.0210021245307927,1,3074.01979928871,0.208272427779008,154.613742659374,0.199799124781195,1353.94709923565,0.944513882000244,1045.79,1,1,1,0,NA,0.8709,0.5,1,7.8073,0.0437,0,0,0,0,NA,1,1,1,0,NA,0.9373,0.7507,1,22.6783,0.0164,15.70275,1759.848
"SST","SST",6,6,6,"easy",5,0.837499186923345,0.645248106569404,-8739.08519605646,170.567646271323,17478.1703921129,1.92970652658606,0.015959595959596,0.0764215692344246,1.12567290558308e-18,0.95,0.0784959704171677,-0.0496899772604382,1,0.0779205018825091,-0.0134560939894899,0.944444444444444,3778.66776731426,0.210017819493091,1201.04211166129,0.345757943048181,2731.98588713413,0.198534563854115,888.513999999999,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,20,2000
"SST","DC-SBM",6,6,6,"easy",5,0.00355505354443789,2.71123446171621,-290134748.62451,290126099.753314,580269497.24902,Inf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734.657000000001,0.6291,0,1,61.3624,0.0401,0.3008,0,1,117.0004,0.0251,0.1378,0,0.35,97.8477,0.0106,0.6227,0.0244,1,58.1586,0.038,0.3029,0,0.937,58.5047,0.0336,5.284,242.9755
