"gen_model","fit_model","K_true","K_hat","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","sparsity","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","DC-SBM",3,3,"strong",1,0.49,1.2,0.09,1,0.465536723163842,0.900418666842025,0.383065356792735,-2747.7224796972,5495.44495939441,0,76.326,1010,1,1,1,0,NA,0.994484833291552,1,1,696.905874684439,0.00280572941270863,1,1,1,0,NA,0.998,1,1,573.61590519738,0.00186562335386812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.9945,1,1,698.669395082262,0.0027983509014996,1,1,1,0,NA,0.998,1,1,573.61590519738,0.00186562335386812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99725,1,0,0.99725,1,0,0.675276232991272,0.588992656842935,0.73045625841858,798.223,1182.00325,0.159109645507007,193,1
"SST","WST",5,5,"strong",1,0.49,1.2,0.09,1,0.665536723163842,1,0,-3302.38789831603,6604.77579663206,0.0180790960451977,377.322,1009,1,1,1,0,NA,0.78285,0.6,1,2703.14624518666,0.00177879075970011,1,1,1,0,NA,0.999975,1,1,4000.00000000048,2.49999999999985e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.78285,0.6,1,2703.14624518666,0.00177879075970011,1,1,1,0,NA,0.999975,1,1,4000.00000000048,2.49999999999985e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1,1,0,0.179285778599725,0.179218303145853,0.180911680911681,376.14325,2098.007,0.179218303145853,376,1
"SST","SST",5,5,"strong",1,0.49,1.2,0.09,1,0.665536723163842,1,0,-3292.55381976967,6585.10763953935,0.0141242937853107,250.921,1010,1,1,1,0,NA,1,1,1,0,NA,0.999991935483871,1,1,3999.9999999994,8.06451612903286e-06,0.986435959101382,0.85,1,1419.60958498591,0.00120026950357918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,0.999992857142857,1,1,3999.99999999996,7.14285714285718e-06,0.986283928571429,0.85,1,1404.14119518942,0.00121336093377943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8795,12.772,0,1,0.995980357142857,0,0.179877960774616,0.179218303145853,0.182760244936411,378.309,2103.08975,0.179218303145853,376,1
"SST","DC-SBM",5,5,"strong",1,0.49,1.2,0.09,1,0.665536723163842,0.815983695148689,0.59542530625917,-3308.82288815076,6617.64577630152,0.0112994350282486,119.677,1011,0.99390625,0.875,1,177.419666094645,0.002021147797685,0.908126785714286,0.75,1,789.705537921041,0.00228431463769617,0.9973125,1,1,158.718966668142,0.00143929407598603,0.9108375,0.875,1,275.519380331104,0.00200605733621026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995125,0.9,1,177.419666094644,0.001616918238148,0.9084,0.8,1,792.397109920358,0.00224689327855126,0.99785,1,1,158.718966668153,0.00115143526078878,0.910375,0.9,1,219.418085631099,0.00224425181636507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8675,9.929,0,0.98705,0.9932,0,0.432337021134429,0.427063339731286,0.441134070158578,899.358,2080.23325,0.19932918064207,416,1
"SST","WST",3,3,"strong",3.5,6.0025,1.2,0.09,3.5,1.46016949152542,1,4.44089209850063e-16,-4347.6904857072,8695.38097141441,0,420.704,1010,1,1,1,0,NA,0.99975,1,1,3999.99999999992,0.000124953104481562,1,1,1,0,NA,0.9999375,1,1,4000.00000000052,6.24999999999959e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.9995625,1,1,3008.4659218841,0.000190528714743659,1,1,1,0,NA,0.9996875,1,1,3999.99999999991,0.000139684336509026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0045,1.00175,0,0.999625,0.9989375,0,0.106241387406444,0.106220905628438,0.106220905628438,251.06425,2363.13525,0.106220905628438,251,1
"SST","SST",3,3,"strong",3.5,6.0025,1.2,0.09,3.5,1.46016949152542,1,4.44089209850063e-16,-4346.46993234197,8692.93986468394,0,341.585,1011,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.106220905628438,0.106220905628438,0.106220905628438,251,2363,0.106220905628438,251,1
"SST","DC-SBM",3,3,"strong",3.5,6.0025,1.2,0.09,3.5,1.46016949152542,1,4.44089209850063e-16,-4381.75182380245,8763.50364760491,0,75.4369999999999,1012,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.797714769360982,0.797714769360982,0.797714769360982,1885,2363,0.106220905628438,251,1
"SST","WST",5,5,"strong",3.5,6.0025,1.2,0.09,3.5,1.57853107344633,1,0,-4259.90738646301,8519.81477292603,0.00338983050847458,529.201,1011,1,1,1,0,NA,0.875820723026973,0.7,1,1402.13090099004,0.00197435581986794,1,1,1,0,NA,0.98602918956044,0.8,1,4261.3963264978,0.000780389472963544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999964285714286,1,1,4000.00000000006,1.59639241724599e-05,0.875189285714286,0.7,1,1415.59447821411,0.00196853654212658,1,1,1,0,NA,0.983946428571429,0.8,1,3002.63025190503,0.000957093968204786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.768,10.86675,0,0.989992857142857,0.995171428571429,0,0.0686041855714276,0.0683799908214777,0.0708768741481145,299.23325,4361.6105,0.0683799908214777,298,1
"SST","SST",5,5,"strong",3.5,6.0025,1.2,0.09,3.5,1.57853107344633,1,0,-4220.30317633812,8440.60635267624,0,389.848,1012,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9999625,1,1,4000.00000000036,3.74999999999983e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9999625,1,1,4000.00000000036,3.74999999999983e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0025,10.0025,0,1,1,0,0.0683804186548226,0.0683799908214777,0.0683799908214777,298.00225,4358.0055,0.0683799908214777,298,1
"SST","DC-SBM",5,5,"strong",3.5,6.0025,1.2,0.09,3.5,1.57853107344633,1,0,-4254.96395169565,8509.92790339129,0,116.686,1013,1,1,1,0,NA,0.91,0.7,1,4000.00000000009,0.00152375537984755,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.91,0.7,1,4000.00000000009,0.00152375537984755,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1,1,0,0.611289582377237,0.611289582377237,0.611289582377237,2664,4358,0.0683799908214777,298,1
