gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
SST,3,medium,0.75,0.7,2,0,0,-0.8774072379292193,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,0.75,1.3,2,0,0,6.3995518051006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,weak,3,0.2,1,0,0,-28.517374483610183,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,weak,0.75,0.2,2,0,0,2.194584214290444,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,3,0.7,1,0,0,-7.032931016159637,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,1.5,1.3,2,0,0,8.075351007179961,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,strong,3,1.3,1,0,0,-66.49900669310045,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,1.5,0.7,2,0,0,-1.8880310231597832,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,6,0.2,1,0,0,-65.662163211,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,weak,1.5,0.2,2,0,0,2.3652953300697845,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,6,0.7,1,0,0,-94.93567424899993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,weak,3,0.2,2,0,0,1.5563828630292846,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,medium,3,0.7,2,-0.125346707685552,0.047715227436025964,1.0640264862704498,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,8,strong,6,1.3,1,0,0,-90.94346874579969,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,5,weak,0.75,0.2,2,0.040588223843249005,-0.023792748061821967,15.720441131709777,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
SST,5,medium,0.75,0.7,2,-0.28228179577563695,0.015070492982167005,-17.53454300993053,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
SST,3,strong,3,1.3,2,-0.12496228544335009,-0.10450884007405092,10.0885147839399,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
SST,3,medium,6,0.7,2,0,0,0.6963809401004255,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,6,0.2,2,0,0,0.07852588569949148,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,strong,0.75,1.3,2,0,0,18.128550036330125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,6,1.3,2,0,0,0.03200785930130223,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,weak,1.5,0.2,2,0,0,4.562623218860608,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,medium,1.5,0.7,2,0,0,-1.3654950153504615,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,5,strong,1.5,1.3,2,0.19367758159413007,0.03585835272747895,20.240577116539498,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
SST,5,weak,3,0.2,2,0,0,9.964629265699841,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,5,medium,3,0.7,2,0,0,10.328567133568868,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,weak,0.75,0.2,2,-0.06500224216484041,-0.0034521365422149897,8.234532432029482,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
