gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,looic_WST,looic_SST,looic_DC,elpd_WST,elpd_SST,elpd_DC,pk_bad_WST,pk_bad_SST,pk_bad_DC,win_rate_WST,win_rate_SST,win_rate_DC,best_mean_looic,best_mean_model,ordered_best_model,ordered_best_looic,dloo_WST_minus_SST,dloo_WST_minus_DC,dloo_SST_minus_DC,dloo_ordered_best_minus_DC,correct_model,correct_looic,dloo_correct_minus_best,correct_is_best,ordered_beats_DC,WST_beats_SST,SST_beats_WST
SST,3,strong,1.3,0.75,4,5597.997953691052,5596.5942208672395,5577.386822030205,-2798.998976845525,-2798.2971104336225,-2788.6934110151,0.02076271186440676,0.024858757062146887,0.028107344632768375,0,0,1,5577.386822030205,DC-SBM,SST,5596.5942208672395,1.4037328238127884,20.611131660847605,19.207398837034816,19.207398837034816,SST,5596.5942208672395,19.207398837034816,FALSE,FALSE,FALSE,TRUE
SST,3,strong,1.3,1.5,4,6977.044351127605,6972.859591185181,6968.923179940877,-3488.5221755638026,-3486.42979559259,-3484.4615899704404,0.005790960451977403,0.007627118644067802,0.012429378531073444,0,0.25,0.75,6968.923179940877,DC-SBM,SST,6972.859591185181,4.1847599424245345,8.121171186728134,3.9364112443035992,3.9364112443035992,SST,6972.859591185181,3.9364112443035992,FALSE,FALSE,FALSE,TRUE
SST,3,strong,1.3,3,3,9756.175568514527,9752.379479960324,9762.643889252942,-4878.087784257264,-4876.189739980156,-4881.321944626473,0.0062146892655367235,0.005838041431261774,0.0032015065913370997,0,0.3333333333333333,0.6666666666666666,9752.379479960324,SST,SST,9752.379479960324,3.7960885542033793,-6.468320738415059,-10.264409292618438,-10.264409292618438,SST,9752.379479960324,0,TRUE,TRUE,FALSE,TRUE
SST,3,strong,1.3,6,3,12965.947188092634,12964.9171869184,12963.424245221833,-6482.973594046323,-6482.458593459203,-6481.712122610917,7.532956685499068e-4,0,0,0,0,1,12963.424245221833,DC-SBM,SST,12964.9171869184,1.0300011742347124,2.5229428708007617,1.4929416965660494,1.4929416965660494,SST,12964.9171869184,1.4929416965660494,FALSE,FALSE,FALSE,TRUE
SST,3,weak,0.2,0.75,4,6255.40312267411,6248.409149764082,6254.93623428481,-3127.701561337055,-3124.20457488204,-3127.468117142405,0.005084745762711862,0.005932203389830505,0.02344632768361582,0,0.5,0.5,6248.409149764082,SST,SST,6248.409149764082,6.993972910027878,0.4668883893000384,-6.52708452072784,-6.52708452072784,SST,6248.409149764082,0,TRUE,TRUE,FALSE,TRUE
SST,3,weak,0.2,1.5,4,7809.202958710468,7807.71530931123,7804.17290658864,-3904.601479355235,-3903.857654655615,-3902.086453294318,0.0018361581920903975,0.004378531073446332,0.0024011299435028203,0,0,1,7804.17290658864,DC-SBM,SST,7807.71530931123,1.4876493992378528,5.030052121827794,3.542402722589941,3.542402722589941,SST,7807.71530931123,3.542402722589941,FALSE,FALSE,FALSE,TRUE
SST,3,weak,0.2,3,4,9638.097141025894,9637.367623721719,9642.934886031733,-4819.0485705129395,-4818.68381186086,-4821.467443015865,0.004378531073446325,0.003954802259887008,0.003389830508474575,0,0.25,0.75,9637.367623721719,SST,SST,9637.367623721719,0.7295173041748058,-4.837745005839679,-5.567262310014485,-5.567262310014485,SST,9637.367623721719,0,TRUE,TRUE,FALSE,TRUE
SST,3,weak,0.2,6,3,13815.032589124867,13813.446062858033,13813.586794289866,-6907.516294562423,-6906.723031429026,-6906.79339714492,0.00376647834274953,0.00376647834274954,0.0032015065913370997,0,0.3333333333333333,0.6666666666666666,13813.446062858033,SST,SST,13813.446062858033,1.586526266833971,1.4457948350009246,-0.14073143183304637,-0.14073143183304637,SST,13813.446062858033,0,TRUE,TRUE,FALSE,TRUE
SST,5,medium,0.7,0.75,3,4945.388899308743,4952.543040170737,4982.352341121797,-2472.6944496543733,-2476.271520085367,-2491.176170560897,0.010169491525423737,0.008474576271186458,0.03483992467043316,0.6666666666666666,0,0.3333333333333333,4945.388899308743,WST,WST,4945.388899308743,-7.154140861994165,-36.96344181305358,-29.809300951059413,-36.96344181305358,SST,4952.543040170737,7.154140861994165,FALSE,TRUE,TRUE,FALSE
SST,5,medium,0.7,1.5,3,7619.038023614314,7617.926910409064,7610.491824350176,-3809.519011807157,-3808.96345520453,-3805.24591217509,0.011487758945386064,0.008286252354048984,0.00753295668549906,0,0,1,7610.491824350176,DC-SBM,SST,7617.926910409064,1.111113205250149,8.546199264137613,7.435086058887464,7.435086058887464,SST,7617.926910409064,7.435086058887464,FALSE,FALSE,FALSE,TRUE
SST,5,medium,0.7,3,3,10113.43338088682,10107.12610093343,10110.37555542936,-5056.716690443403,-5053.563050466717,-5055.18777771468,0.007721280602636537,0.0062146892655367296,0.0060263653483992406,0,0.6666666666666666,0.3333333333333333,10107.12610093343,SST,SST,10107.12610093343,6.307279953389298,3.05782545745933,-3.2494544959299674,-3.2494544959299674,SST,10107.12610093343,0,TRUE,TRUE,FALSE,TRUE
SST,5,medium,0.7,6,3,12706.376871709466,12704.7226203849,12704.158650238965,-6353.18843585473,-6352.36131019245,-6352.079325119503,5.649717514124299e-4,0,0,0,0.3333333333333333,0.6666666666666666,12704.158650238965,DC-SBM,SST,12704.7226203849,1.6542513245658483,2.2182214705007937,0.5639701459349453,0.5639701459349453,SST,12704.7226203849,0.5639701459349453,FALSE,FALSE,FALSE,TRUE
SST,5,strong,1.3,0.75,3,5676.894156749399,5678.439283501223,5704.118043531636,-2838.4470783746997,-2839.2196417506166,-2852.059021765817,0.00583804143126178,0.007532956685499062,0.0216572504708098,0.6666666666666666,0.3333333333333333,0,5676.894156749399,WST,WST,5676.894156749399,-1.5451267518237728,-27.22388678223706,-25.678760030413287,-27.22388678223706,SST,5678.439283501223,1.5451267518237728,FALSE,TRUE,TRUE,FALSE
SST,5,strong,1.3,1.5,3,7377.828317371396,7365.1937063380765,7472.073229807307,-3688.9141586857,-3682.59685316904,-3736.0366149036536,0.011487758945386057,0.010922787193973627,0.019774011299435033,0,0.6666666666666666,0.3333333333333333,7365.1937063380765,SST,SST,7365.1937063380765,12.634611033319743,-94.24491243591092,-106.87952346923066,-106.87952346923066,SST,7365.1937063380765,0,TRUE,TRUE,FALSE,TRUE
SST,5,strong,1.3,3,3,9808.798633725577,9802.036418066096,9804.303276305303,-4904.399316862787,-4901.018209033054,-4902.151638152656,0.005273069679849343,0.0033898305084745766,0.0015065913370998134,0,0.6666666666666666,0.3333333333333333,9802.036418066096,SST,SST,9802.036418066096,6.762215659480717,4.495357420273649,-2.2668582392070675,-2.2668582392070675,SST,9802.036418066096,0,TRUE,TRUE,FALSE,TRUE
SST,5,strong,1.3,6,3,13478.009069666567,13469.508471994433,13469.469072927734,-6739.004534833293,-6734.754235997219,-6734.73453646387,0,0,0,0,0.6666666666666666,0.3333333333333333,13469.469072927734,DC-SBM,SST,13469.508471994433,8.500597672133154,8.539996738832997,0.03939906669984339,0.03939906669984339,SST,13469.508471994433,0.03939906669984339,FALSE,FALSE,FALSE,TRUE
SST,5,weak,0.2,0.75,3,5027.839381909983,5022.572581855937,5013.8936370348965,-2513.91969095499,-2511.28629092797,-2506.9468185174464,0.013559322033898303,0.015065913370998133,0.04783427495291903,0,0.3333333333333333,0.6666666666666666,5013.8936370348965,DC-SBM,SST,5022.572581855937,5.2668000540461435,13.945744875086348,8.678944821040204,8.678944821040204,SST,5022.572581855937,8.678944821040204,FALSE,FALSE,FALSE,TRUE
SST,5,weak,0.2,1.5,3,8209.09866496135,8207.209893271684,8206.695340485294,-4104.549332480677,-4103.60494663584,-4103.347670242647,0.017514124293785318,0.00809792843691149,0.006591337099811683,0.3333333333333333,0.3333333333333333,0.3333333333333333,8206.695340485294,DC-SBM,SST,8207.209893271684,1.8887716896661004,2.4033244760557864,0.5145527863896859,0.5145527863896859,SST,8207.209893271684,0.5145527863896859,FALSE,FALSE,FALSE,TRUE
SST,5,weak,0.2,3,3,9922.56068125036,9915.09543594189,9920.908948919663,-4961.280340625176,-4957.547717970946,-4960.45447445984,0.00433145009416196,0.0020715630885122403,0,0,1,0,9915.09543594189,SST,SST,9915.09543594189,7.465245308469093,1.651732330696177,-5.813512977772916,-5.813512977772916,SST,9915.09543594189,0,TRUE,TRUE,FALSE,TRUE
SST,5,weak,0.2,6,3,12803.0050781015,12792.511956515867,12801.050474529233,-6401.502539050756,-6396.25597825793,-6400.525237264613,0.0013182674199623367,3.766478342749534e-4,0,0,1,0,12792.511956515867,SST,SST,12792.511956515867,10.493121585632252,1.954603572266933,-8.53851801336532,-8.53851801336532,SST,12792.511956515867,0,TRUE,TRUE,FALSE,TRUE
