gen_model,K_true,hierch,kappa_mean,psi_mean,fit_model,n_reps,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
WST,3,weak,3,0.2,SST,3,1,0.7505430557959425,0.4735399452381026,0.3333333333333333,1,10355.931350148947,0.005461393596986817
WST,3,weak,3,0.2,DC-SBM,3,1,0.7505430557959425,0.4735399452381026,0.3333333333333333,1,10346.019822882934,0.00376647834274953
WST,3,weak,6,0.2,WST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12147.072351157,0.005084745762711867
WST,3,weak,6,0.2,SST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12454.3178963281,0.0184557438794727
WST,3,weak,6,0.2,DC-SBM,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12143.477307430167,0
WST,5,medium,0.75,0.7,WST,3,0.8317920715167286,0.35081722192272735,0.1510887536505499,0.6666666666666666,0.33333333333333337,5463.979084323103,0.0032015065913371
WST,5,medium,0.75,0.7,SST,3,0.8248744961855057,0.37840501194296966,0.16297016810131937,0.3333333333333333,0.6666666666666666,5482.81092035854,0.003954802259887007
WST,5,medium,0.75,0.7,DC-SBM,3,0.8718594250317137,0.29952876302999065,0.12900001670573735,0.6666666666666666,0.33333333333333337,5468.535013892953,0.03804143126177022
WST,5,medium,1.5,0.7,WST,3,0.8828345282090403,0.31445316450305066,0.13542760656346034,0.6666666666666666,0.33333333333333337,7765.459806768739,0.01148775894538606
WST,5,medium,1.5,0.7,SST,3,0.8652046404898667,0.36490250058893,0.15715495298601465,0.6666666666666666,0.33333333333333337,7780.171224189847,0.018644067796610174
WST,5,medium,1.5,0.7,DC-SBM,3,0.8726693065884543,0.3656624242467217,0.15748223429135091,0.6666666666666666,0.33333333333333337,7761.131578921697,0.017702448210922764
WST,5,medium,3,0.7,WST,3,1,0,0,1,0,10402.310968423442,0.0033898305084745766
WST,5,medium,3,0.7,SST,3,1,0,0,1,0,10507.881891939849,0.007344632768361589
WST,5,medium,3,0.7,DC-SBM,3,1,0,0,1,0,10399.865712561941,0.0035781544256120535
WST,5,medium,6,0.7,WST,3,1,0,0,1,0,13495.0136523485,0.0030131826741996233
WST,5,medium,6,0.7,SST,3,1,0,0,1,0,13577.5715783711,0.0016949152542372866
WST,5,medium,6,0.7,DC-SBM,3,1,0,0,1,0,13492.123953284134,0.002448210922787193
WST,5,strong,0.75,1.3,WST,3,0.7682405105792743,1.0920414250334,0.4703166422069481,0,1.3333333333333333,4753.15763050653,0.008097928436911492
WST,5,strong,0.75,1.3,SST,3,0.7291762863462133,0.9358581613928824,0.40305217179358055,0.3333333333333333,1,4754.03723336733,0.0167608286252354
WST,5,strong,0.75,1.3,DC-SBM,3,0.7422509959530497,1.2205773358599816,0.5256740458705689,0,1.6666666666666667,4765.695756584297,0.03992467043314503
WST,5,strong,1.5,1.3,WST,3,0.985738457819676,0.055844269615688,0.02405081782620707,1,0,7243.714094941427,0.006026365348399247
WST,5,strong,1.5,1.3,SST,3,0.9512477276483227,0.13333333333333336,0.05742354107645241,1,0,7248.053935583107,0.009604519774011293
WST,5,strong,1.5,1.3,DC-SBM,3,0.9726851851851853,0.11035116008096899,0.04752565780307774,1,0,7232.41580343836,3.766478342749534e-4
WST,5,strong,3,1.3,WST,3,1,0,0,1,0,9622.091126351497,0.0015065913370998136
WST,5,strong,3,1.3,SST,3,1,0,0,1,0,9638.559370592544,0.0018832391713747634
WST,5,strong,3,1.3,DC-SBM,3,1,0,0,1,0,9617.842720427596,0
WST,5,strong,6,1.3,WST,3,1,0,0,1,0,12718.6711649127,0
WST,5,strong,6,1.3,SST,3,1,0,0,1,0,12750.1187433375,0
WST,5,strong,6,1.3,DC-SBM,3,1,0,0,1,0,12715.287078773867,0
WST,5,weak,0.75,0.2,WST,3,0.9188658617109343,1.572494351630761,0.677236454950188,0,3,5119.195183088754,0.0071563088512240965
WST,5,weak,0.75,0.2,SST,3,0.9547106701281189,1.5298196365687977,0.6588574555505389,0,3,5130.40140477791,0.009039548022598863
