gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,looic_WST,looic_SST,looic_DC,elpd_WST,elpd_SST,elpd_DC,pk_bad_WST,pk_bad_SST,pk_bad_DC,win_rate_WST,win_rate_SST,win_rate_DC,best_mean_looic,best_mean_model,ordered_best_model,ordered_best_looic,dloo_WST_minus_SST,dloo_WST_minus_DC,dloo_SST_minus_DC,dloo_ordered_best_minus_DC,correct_model,correct_looic,dloo_correct_minus_best,correct_is_best,ordered_beats_DC,WST_beats_SST,SST_beats_WST
SST,3,strong,1.3,3,3,9756.175568514527,9752.379479960324,9762.643889252942,-4878.087784257264,-4876.189739980156,-4881.321944626473,0.0062146892655367235,0.005838041431261774,0.0032015065913370997,0,0.3333333333333333,0.6666666666666666,9752.379479960324,SST,SST,9752.379479960324,3.7960885542033793,-6.468320738415059,-10.264409292618438,-10.264409292618438,SST,9752.379479960324,0,TRUE,TRUE,FALSE,TRUE
SST,3,weak,0.2,0.75,4,6255.40312267411,6248.409149764082,6254.93623428481,-3127.701561337055,-3124.20457488204,-3127.468117142405,0.005084745762711862,0.005932203389830505,0.02344632768361582,0,0.5,0.5,6248.409149764082,SST,SST,6248.409149764082,6.993972910027878,0.4668883893000384,-6.52708452072784,-6.52708452072784,SST,6248.409149764082,0,TRUE,TRUE,FALSE,TRUE
SST,3,weak,0.2,3,4,9638.097141025894,9637.367623721719,9642.934886031733,-4819.0485705129395,-4818.68381186086,-4821.467443015865,0.004378531073446325,0.003954802259887008,0.003389830508474575,0,0.25,0.75,9637.367623721719,SST,SST,9637.367623721719,0.7295173041748058,-4.837745005839679,-5.567262310014485,-5.567262310014485,SST,9637.367623721719,0,TRUE,TRUE,FALSE,TRUE
SST,3,weak,0.2,6,3,13815.032589124867,13813.446062858033,13813.586794289866,-6907.516294562423,-6906.723031429026,-6906.79339714492,0.00376647834274953,0.00376647834274954,0.0032015065913370997,0,0.3333333333333333,0.6666666666666666,13813.446062858033,SST,SST,13813.446062858033,1.586526266833971,1.4457948350009246,-0.14073143183304637,-0.14073143183304637,SST,13813.446062858033,0,TRUE,TRUE,FALSE,TRUE
SST,5,medium,0.7,3,3,10113.43338088682,10107.12610093343,10110.37555542936,-5056.716690443403,-5053.563050466717,-5055.18777771468,0.007721280602636537,0.0062146892655367296,0.0060263653483992406,0,0.6666666666666666,0.3333333333333333,10107.12610093343,SST,SST,10107.12610093343,6.307279953389298,3.05782545745933,-3.2494544959299674,-3.2494544959299674,SST,10107.12610093343,0,TRUE,TRUE,FALSE,TRUE
SST,5,strong,1.3,1.5,3,7377.828317371396,7365.1937063380765,7472.073229807307,-3688.9141586857,-3682.59685316904,-3736.0366149036536,0.011487758945386057,0.010922787193973627,0.019774011299435033,0,0.6666666666666666,0.3333333333333333,7365.1937063380765,SST,SST,7365.1937063380765,12.634611033319743,-94.24491243591092,-106.87952346923066,-106.87952346923066,SST,7365.1937063380765,0,TRUE,TRUE,FALSE,TRUE
SST,5,strong,1.3,3,3,9808.798633725577,9802.036418066096,9804.303276305303,-4904.399316862787,-4901.018209033054,-4902.151638152656,0.005273069679849343,0.0033898305084745766,0.0015065913370998134,0,0.6666666666666666,0.3333333333333333,9802.036418066096,SST,SST,9802.036418066096,6.762215659480717,4.495357420273649,-2.2668582392070675,-2.2668582392070675,SST,9802.036418066096,0,TRUE,TRUE,FALSE,TRUE
SST,5,weak,0.2,3,3,9922.56068125036,9915.09543594189,9920.908948919663,-4961.280340625176,-4957.547717970946,-4960.45447445984,0.00433145009416196,0.0020715630885122403,0,0,1,0,9915.09543594189,SST,SST,9915.09543594189,7.465245308469093,1.651732330696177,-5.813512977772916,-5.813512977772916,SST,9915.09543594189,0,TRUE,TRUE,FALSE,TRUE
SST,5,weak,0.2,6,3,12803.0050781015,12792.511956515867,12801.050474529233,-6401.502539050756,-6396.25597825793,-6400.525237264613,0.0013182674199623367,3.766478342749534e-4,0,0,1,0,12792.511956515867,SST,SST,12792.511956515867,10.493121585632252,1.954603572266933,-8.53851801336532,-8.53851801336532,SST,12792.511956515867,0,TRUE,TRUE,FALSE,TRUE
SST,8,medium,0.7,0.75,3,5650.203726994677,5645.502632024773,5762.0525296107835,-2825.1018634973366,-2822.7513160123867,-2881.0262648053936,0.010357815442561204,0.010922787193973634,0.019585687382297566,0.3333333333333333,0.3333333333333333,0.3333333333333333,5645.502632024773,SST,SST,5645.502632024773,4.701094969903352,-111.8488026161067,-116.54989758601005,-116.54989758601005,SST,5645.502632024773,0,TRUE,TRUE,FALSE,TRUE
SST,8,medium,0.7,1.5,3,7595.60004350909,7588.290433220007,7759.9089656748665,-3797.800021754543,-3794.1452166100034,-3879.95448283743,0.011676082862523519,0.007156308851224106,0.03389830508474577,0.3333333333333333,0.3333333333333333,0.3333333333333333,7588.290433220007,SST,SST,7588.290433220007,7.309610289083139,-164.3089221657765,-171.61853245485963,-171.61853245485963,SST,7588.290433220007,0,TRUE,TRUE,FALSE,TRUE
