gen_model,K_true,hierch,psi_mean,kappa_mean,rep_id,looic__WST,looic__SST,looic__DC-SBM,elpd__WST,elpd__SST,elpd__DC-SBM,pk_bad__WST,pk_bad__SST,pk_bad__DC-SBM,best_rep_looic,win_WST,win_SST,win_DC,split,win_credit_WST,win_credit_SST,win_credit_DC,dloo_WST_vs_SST,dloo_WST_vs_DC,dloo_SST_vs_DC,ordered_best_rep,dloo_ordered_best_vs_DC
SST,8,strong,1.3,1.5,1,8095.25827162238,8075.14711500488,8092.83231331813,-4047.62913581119,-4037.57355750244,-4046.41615665906,0.0124293785310734,0.0101694915254237,0.00734463276836158,8075.14711500488,FALSE,TRUE,FALSE,1,0,1,0,20.111156617499546,2.425958304249434,-17.685198313250112,8075.14711500488,-17.685198313250112
WST,3,strong,1.3,0.75,1,5639.41782185412,5637.2348227865205,5629.0484652855,-2819.70891092706,-2818.6174113932602,-2814.52423264275,0.00225988700564972,0.00508474576271186,0,5629.0484652855,FALSE,FALSE,TRUE,1,0,0,1,2.182999067599667,10.369356568619878,8.186357501020211,5637.2348227865205,8.186357501020211
SST,8,weak,0.2,3,1,10228.0254002211,10218.3665371091,10408.3771062739,-5114.01270011057,-5109.18326855457,-5204.18855313693,0.00169491525423729,0.00508474576271186,0.0107344632768362,10218.3665371091,FALSE,TRUE,FALSE,1,0,1,0,9.6588631120012,-180.35170605279927,-190.01056916480047,10218.3665371091,-190.01056916480047
SST,8,medium,0.7,3,1,9860.89245960137,9852.44467232249,9864.69507120605,-4930.44622980068,-4926.22233616125,-4932.34753560302,0,5.6497175141242e-4,0,9852.44467232249,FALSE,TRUE,FALSE,1,0,1,0,8.447787278879332,-3.802611604680351,-12.250398883559683,9852.44467232249,-12.250398883559683
SST,8,strong,1.3,3,1,10466.1924238518,10438.3529424298,10464.8826233108,-5233.09621192591,-5219.17647121491,-5232.44131165541,5.6497175141242e-4,0,0,10438.3529424298,FALSE,TRUE,FALSE,1,0,1,0,27.839481422000972,1.3098005410010956,-26.529680880999877,10438.3529424298,-26.529680880999877
WST,3,weak,0.2,1.5,1,8048.75419418608,8042.75651278678,8057.90493472235,-4024.37709709304,-4021.37825639339,-4028.95246736118,0.00451977401129944,0.00847457627118644,0.00621468926553672,8042.75651278678,FALSE,TRUE,FALSE,1,0,1,0,5.997681399299836,-9.15074053626995,-15.148421935569786,8042.75651278678,-15.148421935569786
WST,3,strong,1.3,1.5,1,7958.15562313818,8065.93277475781,7954.23404761165,-3979.07781156909,-4032.9663873789,-3977.11702380582,0.00451977401129944,0.0457627118644068,0.00338983050847458,7954.23404761165,FALSE,FALSE,TRUE,1,0,0,1,-107.77715161962988,3.9215755265304324,111.69872714616031,7958.15562313818,3.9215755265304324
SST,8,weak,0.2,6,1,12183.6131946809,12175.2292772157,12619.7612497196,-6091.80659734046,-6087.61463860785,-6309.8806248598,0,0,0,12175.2292772157,FALSE,TRUE,FALSE,1,0,1,0,8.383917465200284,-436.1480550387005,-444.53197250390076,12175.2292772157,-444.53197250390076
WST,3,weak,0.2,3,1,10533.2363319419,10534.4783253524,10531.0369922693,-5266.61816597095,-5267.2391626762,-5265.51849613464,0.00225988700564972,0.00508474576271186,0,10531.0369922693,FALSE,FALSE,TRUE,1,0,0,1,-1.241993410500072,2.199339672599308,3.44133308309938,10533.2363319419,2.199339672599308
SST,8,strong,1.3,6,1,12420.6984711924,12391.5262760811,12736.2661768736,-6210.34923559619,-6195.76313804057,-6368.13308843679,0.00112994350282486,5.6497175141242e-4,0,12391.5262760811,FALSE,TRUE,FALSE,1,0,1,0,29.172195111299516,-315.5677056812001,-344.7399007924996,12391.5262760811,-344.7399007924996
SST,8,medium,0.7,6,1,12877.0389642998,12871.2653766296,12879.3286757843,-6438.51948214989,-6435.63268831482,-6439.66433789215,0,0,0,12871.2653766296,FALSE,TRUE,FALSE,1,0,1,0,5.773587670199049,-2.2897114845000033,-8.063299154699052,12871.2653766296,-8.063299154699052
WST,3,medium,0.7,1.5,1,8181.9743253505,8175.52599991145,8175.88056751381,-4090.98716267525,-4087.76299995572,-4087.94028375691,0.00282485875706215,0.0096045197740113,0.00564971751412429,8175.52599991145,FALSE,TRUE,FALSE,1,0,1,0,6.448325439050677,6.093757836690202,-0.3545676023604756,8175.52599991145,-0.3545676023604756
WST,3,medium,0.7,3,1,9605.61272201076,9704.78720316347,9603.18018409722,-4802.80636100538,-4852.39360158174,-4801.59009204861,0.00847457627118644,0.0350282485875706,0.0096045197740113,9603.18018409722,FALSE,FALSE,TRUE,1,0,0,1,-99.17448115271145,2.4325379135389085,101.60701906625036,9605.61272201076,2.4325379135389085
WST,5,weak,0.2,0.75,1,4539.32137018862,4539.16657796526,4527.96692608118,-2269.66068509431,-2269.58328898263,-2263.98346304059,0.00451977401129944,0.00338983050847458,0.0305084745762712,4527.96692608118,FALSE,FALSE,TRUE,1,0,0,1,0.15479222335943632,11.354444107440031,11.199651884080595,4539.16657796526,11.199651884080595
WST,5,strong,1.3,0.75,1,4980.70243909303,4996.18495768583,4978.02473902725,-2490.35121954652,-2498.09247884292,-2489.01236951362,0.00169491525423729,0.0180790960451977,0.0225988700564972,4978.02473902725,FALSE,FALSE,TRUE,1,0,0,1,-15.482518592800261,2.6777000657803,18.16021865858056,4980.70243909303,2.6777000657803
WST,3,strong,1.3,3,1,10665.4979538582,10665.873961658801,10661.4655605954,-5332.7489769291,-5332.9369808294005,-5330.73278029769,0.00112994350282486,0.00169491525423729,0,10661.4655605954,FALSE,FALSE,TRUE,1,0,0,1,-0.3760078006016556,4.032393262799815,4.40840106340147,10665.4979538582,4.032393262799815
WST,5,medium,0.7,0.75,1,5436.49395829391,5446.84821404963,5414.9648957661,-2718.24697914696,-2723.42410702482,-2707.48244788305,0.00112994350282486,0,0.0333333333333333,5414.9648957661,FALSE,FALSE,TRUE,1,0,0,1,-10.35425575572026,21.5290625278094,31.88331828352966,5436.49395829391,21.5290625278094
WST,3,weak,0.2,6,1,11889.3121887159,12813.7534094074,11883.0708458659,-5944.65609435795,-6406.87670470369,-5941.53542293294,0.00169491525423729,0.0553672316384181,0,11883.0708458659,FALSE,FALSE,TRUE,1,0,0,1,-924.4412206915003,6.241342850000365,930.6825635415007,11889.3121887159,6.241342850000365
WST,3,medium,0.7,6,1,14693.2895911259,15364.7909265168,14691.7268052912,-7346.64479556294,-7682.39546325842,-7345.86340264558,0.00621468926553672,0.13954802259887,0,14691.7268052912,FALSE,FALSE,TRUE,1,0,0,1,-671.5013353908998,1.5627858346997527,673.0641212255996,14693.2895911259,1.5627858346997527
WST,5,strong,1.3,1.5,1,7278.48637400991,7290.6887056958,7264.64984730373,-3639.24318700495,-3645.3443528479,-3632.32492365186,0.00903954802259887,0.00734463276836158,0.00112994350282486,7264.64984730373,FALSE,FALSE,TRUE,1,0,0,1,-12.202331685890385,13.836526706179939,26.038858392070324,7278.48637400991,13.836526706179939
WST,5,medium,0.7,1.5,1,8027.76480224765,8035.81028731124,8022.13503071065,-4013.88240112383,-4017.90514365562,-4011.06751535532,0.00734463276836158,0.00621468926553672,0,8022.13503071065,FALSE,FALSE,TRUE,1,0,0,1,-8.045485063590604,5.629771536999215,13.675256600589819,8027.76480224765,5.629771536999215
WST,3,strong,1.3,6,1,10914.9072550954,10975.0749108023,10913.6804345836,-5457.45362754772,-5487.53745540116,-5456.8402172918,0.00508474576271186,0.0819209039548023,0,10913.6804345836,FALSE,FALSE,TRUE,1,0,0,1,-60.167655706898586,1.226820511799815,61.3944762186984,10914.9072550954,1.226820511799815
WST,5,weak,0.2,1.5,1,8573.32509841821,8593.03003293486,8574.29239429712,-4286.6625492091,-4296.51501646743,-4287.14619714856,0.00734463276836158,0.00903954802259887,0.00903954802259887,8573.32509841821,TRUE,FALSE,FALSE,1,1,0,0,-19.70493451664879,-0.9672958789087716,18.73763863774002,8573.32509841821,-0.9672958789087716
WST,5,weak,0.2,3,1,10239.2605658161,10308.4837920615,10236.5384815545,-5119.63028290804,-5154.24189603077,-5118.26924077727,0.00338983050847458,0.00508474576271186,0,10236.5384815545,FALSE,FALSE,TRUE,1,0,0,1,-69.22322624539993,2.722084261598866,71.9453105069988,10239.2605658161,2.722084261598866
WST,8,weak,0.2,0.75,1,5187.6959771069,5174.15461671386,5207.28237693882,-2593.84798855345,-2587.07730835693,-2603.64118846941,0.00508474576271186,0.00903954802259887,0.0338983050847458,5174.15461671386,FALSE,TRUE,FALSE,1,0,1,0,13.541360393039213,-19.586399831920062,-33.127760224959275,5174.15461671386,-33.127760224959275
WST,5,medium,0.7,3,1,9581.38508977813,9606.58479126385,9578.61851287972,-4790.69254488906,-4803.29239563193,-4789.30925643986,0.00169491525423729,0.00282485875706215,0,9578.61851287972,FALSE,FALSE,TRUE,1,0,0,1,-25.199701485718833,2.7665768984097667,27.9662783841286,9581.38508977813,2.7665768984097667
WST,8,medium,0.7,0.75,1,5247.64195532025,5252.77384104262,5253.31460592365,-2623.82097766012,-2626.38692052131,-2626.65730296183,0.00451977401129944,0.0107344632768362,0.0163841807909605,5247.64195532025,TRUE,FALSE,FALSE,1,1,0,0,-5.131885722369589,-5.672650603399234,-0.540764881029645,5247.64195532025,-5.672650603399234
WST,5,strong,1.3,3,1,8920.06668146005,8917.69732967154,8916.84830629984,-4460.03334073003,-4458.84866483577,-4458.42415314992,0,0,0,8916.84830629984,FALSE,FALSE,TRUE,1,0,0,1,2.369351788509448,3.218375160209689,0.8490233717002411,8917.69732967154,0.8490233717002411
WST,5,weak,0.2,6,1,12634.491951322,12666.0596518206,12633.2658034165,-6317.24597566101,-6333.02982591032,-6316.63290170823,0,0,0,12633.2658034165,FALSE,FALSE,TRUE,1,0,0,1,-31.56770049860097,1.2261479054996016,32.79384840410057,12634.491951322,1.2261479054996016
WST,5,strong,1.3,6,1,12726.0758080646,12796.347752722,12722.4151117932,-6363.0379040323,-6398.17387636099,-6361.20755589658,0,0,0,12722.4151117932,FALSE,FALSE,TRUE,1,0,0,1,-70.27194465740104,3.6606962713995017,73.93264092880054,12726.0758080646,3.6606962713995017
