gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,best_mean_model,ordered_best_model,looic_WST,looic_SST,looic_DC,dloo_WST_minus_SST,dloo_ordered_best_minus_DC,win_rate_WST,win_rate_SST,win_rate_DC,correct_model,correct_is_best,ordered_beats_DC
SST,3,weak,0.2,1.5,4,DC-SBM,SST,7809.202958710468,7807.71530931123,7804.17290658864,1.4876493992378528,3.542402722589941,0,0,1,SST,FALSE,FALSE
SST,3,weak,0.2,3,4,SST,SST,9638.097141025894,9637.367623721719,9642.934886031733,0.7295173041748058,-5.567262310014485,0,0.25,0.75,SST,TRUE,TRUE
SST,3,weak,0.2,6,3,SST,SST,13815.032589124867,13813.446062858033,13813.586794289866,1.586526266833971,-0.14073143183304637,0,0.3333333333333333,0.6666666666666666,SST,TRUE,TRUE
SST,5,medium,0.7,0.75,3,WST,WST,4945.388899308743,4952.543040170737,4982.352341121797,-7.154140861994165,-36.96344181305358,0.6666666666666666,0,0.3333333333333333,SST,FALSE,TRUE
SST,5,medium,0.7,1.5,3,DC-SBM,SST,7619.038023614314,7617.926910409064,7610.491824350176,1.111113205250149,7.435086058887464,0,0,1,SST,FALSE,FALSE
SST,5,medium,0.7,3,3,SST,SST,10113.43338088682,10107.12610093343,10110.37555542936,6.307279953389298,-3.2494544959299674,0,0.6666666666666666,0.3333333333333333,SST,TRUE,TRUE
SST,5,medium,0.7,6,3,DC-SBM,SST,12706.376871709466,12704.7226203849,12704.158650238965,1.6542513245658483,0.5639701459349453,0,0.3333333333333333,0.6666666666666666,SST,FALSE,FALSE
SST,5,strong,1.3,0.75,3,WST,WST,5676.894156749399,5678.439283501223,5704.118043531636,-1.5451267518237728,-27.22388678223706,0.6666666666666666,0.3333333333333333,0,SST,FALSE,TRUE
SST,5,strong,1.3,1.5,3,SST,SST,7377.828317371396,7365.1937063380765,7472.073229807307,12.634611033319743,-106.87952346923066,0,0.6666666666666666,0.3333333333333333,SST,TRUE,TRUE
SST,5,strong,1.3,3,3,SST,SST,9808.798633725577,9802.036418066096,9804.303276305303,6.762215659480717,-2.2668582392070675,0,0.6666666666666666,0.3333333333333333,SST,TRUE,TRUE
SST,5,strong,1.3,6,3,DC-SBM,SST,13478.009069666567,13469.508471994433,13469.469072927734,8.500597672133154,0.03939906669984339,0,0.6666666666666666,0.3333333333333333,SST,FALSE,FALSE
SST,5,weak,0.2,0.75,3,DC-SBM,SST,5027.839381909983,5022.572581855937,5013.8936370348965,5.2668000540461435,8.678944821040204,0,0.3333333333333333,0.6666666666666666,SST,FALSE,FALSE
SST,5,weak,0.2,1.5,3,DC-SBM,SST,8209.09866496135,8207.209893271684,8206.695340485294,1.8887716896661004,0.5145527863896859,0.3333333333333333,0.3333333333333333,0.3333333333333333,SST,FALSE,FALSE
SST,5,weak,0.2,3,3,SST,SST,9922.56068125036,9915.09543594189,9920.908948919663,7.465245308469093,-5.813512977772916,0,1,0,SST,TRUE,TRUE
SST,5,weak,0.2,6,3,SST,SST,12803.0050781015,12792.511956515867,12801.050474529233,10.493121585632252,-8.53851801336532,0,1,0,SST,TRUE,TRUE
SST,8,medium,0.7,0.75,3,SST,SST,5650.203726994677,5645.502632024773,5762.0525296107835,4.701094969903352,-116.54989758601005,0.3333333333333333,0.3333333333333333,0.3333333333333333,SST,TRUE,TRUE
