"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"SST",NA,0.75,3,"DC-SBM",4,16.5,29.011491975882,0.25,0.5,0.25,0.603904995387581,0.453644940622962,1.73915565476698,-2995.50376499706,82.4782599167112,0.0933615819209039
"SST",NA,0.75,5,"SST",4,5.5,1,0.75,0,0.25,0.899757458595282,0.120160048247827,0.385164970462919,-2509.09944151091,245.603455938252,0.0564971751412429
"SST",NA,0.75,5,"WST",4,4.75,0.5,0.75,0.25,0,0.909644786735586,0.125298171693804,0.423684999900163,-2463.17373370402,334.451789308001,0.00889830508474576
"SST",NA,0.75,5,"DC-SBM",4,46.25,27.5,0.25,0,0.75,0.228632613214083,0.457265226428167,2.7724882799644,-2708.99980051833,196.356332573676,0.0508474576271186
"SST",NA,0.75,8,"SST",4,10,5.35412613473634,0.25,0.5,0.25,0.702845888929029,0.252184451450756,0.78393876928419,-4657.38238484159,2431.82318485578,0.165536723163842
"SST",NA,0.75,8,"WST",4,6.75,0.5,0,1,0,0.684417157579038,0.113352100409066,0.713543234548134,-2606.10612197084,180.713627957464,0.0129943502824859
"SST",NA,0.75,8,"DC-SBM",4,20.25,26.5125756324554,0.25,0.5,0.25,0.655448434572089,0.445970524001752,0.99487364851496,-2624.79958436116,267.457203486129,0.0293785310734463
"SST",NA,1.5,3,"SST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-3545.63781838143,426.039892871188,0.0177966101694915
"SST",NA,1.5,3,"WST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-3544.4800717188,426.963869518198,0.0100282485875706
"SST",NA,1.5,3,"DC-SBM",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-3543.18099638825,427.157419759073,0.00762711864406781
"SST",NA,1.5,5,"SST",4,5,0,1,0,0,1,0,0,-3510.03084807349,103.158340258818,0.0535310734463278
"SST",NA,1.5,5,"WST",4,4.75,0.5,0.75,0.25,0,1,0,0.1,-3498.72236552864,85.5558295975428,0.0100282485875706
"SST",NA,1.5,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-3486.90615869017,95.5996683880841,0.00579096045197739
"SST",NA,1.5,8,"SST",4,8,0,1,0,0,0.922775519882646,0.127443449682602,0.198024867994015,-3371.38246998121,102.181724109556,0.0395480225988702
"SST",NA,1.5,8,"WST",4,7.25,0.957427107756338,0.5,0.5,0,0.831389255121917,0.195164122933334,0.366446471425026,-3415.80384886165,105.628364987497,0.00437853107344633
"SST",NA,1.5,8,"DC-SBM",4,7.75,0.5,0.75,0.25,0,0.919754447517767,0.109802460898856,0.182298732862165,-3337.78454739834,95.3489934046728,0.00564971751412429
"SST",NA,3,3,"SST",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4513.25943917356,1140.68955126757,0.00635593220338983
"SST",NA,3,3,"WST",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4514.31547373787,1140.89636762953,0.0040960451977401
"SST",NA,3,3,"DC-SBM",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4512.43025677685,1140.81571349933,0.00706214689265535
"SST",NA,3,5,"SST",4,5,0,1,0,0,1,0,0,-4658.3812291112,235.478480658662,0.0240112994350283
"SST",NA,3,5,"WST",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4663.77663538703,237.856931135928,0.00211864406779661
"SST",NA,3,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-4659.87930785243,237.102766551928,0.00155367231638418
"SST",NA,3,8,"SST",4,8.5,1,0.75,0,0.25,0.990398000981482,0.019203998037036,0.035375937481971,-8013.37157305797,5309.20336280131,0.215536723163842
"SST",NA,3,8,"WST",4,6.75,0.957427107756338,0.25,0.75,0,0.904210412382292,0.110608288393293,0.308333333333333,-4315.73693304984,84.0000723478419,0
"SST",NA,3,8,"DC-SBM",4,8,0,1,0,0,1,0,0,-4130.12602040245,60.5761699293905,0.000282485875706215
"SST",NA,6,3,"SST",4,3,0,1,0,0,0.97478135069376,0.0291199879311135,0.0960670260243822,-6236.68032127914,473.918633715664,0.0094632768361582
"SST",NA,6,3,"WST",4,3,0,1,0,0,0.97478135069376,0.0291199879311135,0.0960670260243822,-6232.35129127504,474.855828946535,0.00282485875706215
"SST",NA,6,3,"DC-SBM",4,3,0,1,0,0,0.97478135069376,0.0291199879311135,0.0960670260243822,-6231.20943193163,475.065558694559,0.00211864406779661
"SST",NA,6,5,"SST",4,5,0,1,0,0,1,0,0,-5971.63480483397,99.6399876000023,0.00805084745762713
"SST",NA,6,5,"WST",4,5,0,1,0,0,1,0,0,-5990.7721011831,101.857171235443,0
