"gen_model","hierch","kappa_mean","K_true","fit_model","zetaW_blk_mean","zetaW_blk_lo","zetaW_blk_hi","zetaS_blk_mean","zetaS_blk_lo","zetaS_blk_hi","cov_block_emp_mean"
"WST","strong",3,8,"SST",1,1,1,0.367087638287638,0.329403412698412,0.390477958152958,0.999978174603174
"WST","strong",3,8,"WST",0.999997187060478,0.999990436005626,1,0.369372173007358,0.329494841269842,0.39216204839316,0.999966931216931
"WST","strong",3,8,"DC-SBM",1,1,1,0.357447420634921,0.299107142857143,0.390058531746032,1
"WST","strong",6,3,"SST",1,1,1,0.250027777777778,0,0.850016666666666,1
"WST","strong",6,3,"WST",1,1,1,0.250083333333333,0,0.85005,1
"WST","strong",6,3,"DC-SBM",1,1,1,0.25,0,0.85,1
"WST","strong",6,5,"SST",1,1,1,0.400015972222222,0.3,0.500054305555556,0.999988888888889
"WST","strong",6,5,"WST",1,1,1,0.400008333333333,0.300005,0.5,1
"WST","strong",6,5,"DC-SBM",1,1,1,0.4,0.3,0.5,1
"WST","strong",6,8,"SST",1,1,1,0.294288275613276,0.214969393939394,0.336603571428571,0.9732208994709
"WST","strong",6,8,"WST",1,1,1,0.294285714285714,0.214964285714285,0.336607142857143,0.973214285714286
"WST","strong",6,8,"DC-SBM",1,1,1,0.294285714285714,0.214964285714285,0.336607142857143,0.973214285714286
"WST",NA,0.75,3,"SST",0.99883024691358,0.997123148148148,0.999848148148148,0.489219759191426,0.0763020799755801,0.927536825396825,0.74539246031746
"WST",NA,0.75,3,"WST",0.997915307009979,0.997371743389025,0.998532239858907,0.390924431121707,0.067164321374968,0.873159705331705,0.665609126984127
"WST",NA,0.75,3,"DC-SBM",0.9331560760924,0.858773187497514,0.99826784858154,0.58071929560035,0.207017856958562,0.942400719707173,0.847943195286196
"WST",NA,0.75,5,"SST",0.968478906123388,0.93365531065282,0.989397113130096,0.382590296609995,0.331118448377582,0.444785810580341,0.795151330845081
"WST",NA,0.75,5,"WST",0.961527111035813,0.921914266654689,0.988038834043319,0.314855977188192,0.280608205722981,0.368321509039598,0.753660485347985
"WST",NA,0.75,5,"DC-SBM",0.898231474896189,0.85879098815749,0.958108890514582,0.522834996664993,0.450812258418411,0.577703006388425,0.73493194973545
"WST",NA,0.75,8,"SST",0.96405443622301,0.94362609409345,0.984184604428275,0.448791463466182,0.359122115886722,0.530754314130509,0.753318789667304
"WST",NA,0.75,8,"WST",0.949690563600394,0.909656107792959,0.974471486465333,0.36168949837778,0.327465197446268,0.378218856869699,0.716936503138187
"WST",NA,0.75,8,"DC-SBM",0.889951170569659,0.871953539389845,0.899500875348316,0.5481622765517,0.536882812046681,0.564293861695158,0.743201166666667
"WST",NA,1.5,3,"SST",0.999690428736958,0.998973383631584,1,0.426224298047244,0.00263698412698413,0.952397594701362,0.921127777777778
"WST",NA,1.5,3,"WST",0.996988679137704,0.989761509068194,1,0.403827976592599,0.00420111111111111,0.93675789706667,0.986734126984127
"WST",NA,1.5,3,"DC-SBM",1,1,1,0.490853021978022,7.5e-05,0.994436813186813,0.992666666666667
"WST",NA,1.5,5,"SST",0.999418290428365,0.998374850422865,0.999896826866549,0.469034225356639,0.131090411798623,0.819321355469436,0.993973214285714
"WST",NA,1.5,5,"WST",0.99690671513416,0.99249722393116,0.999810288600289,0.37013918739277,0.14927963119669,0.512019564040226,0.975198412698412
"WST",NA,1.5,5,"DC-SBM",1,1,1,0.5106,0.12358,0.93514,1
"WST",NA,1.5,8,"SST",0.96678295409688,0.904414982965389,0.998091024169678,0.353701683265527,0.32382764192462,0.411573264365441,0.760519453231953
"WST",NA,1.5,8,"WST",0.962725013765546,0.892442763224897,0.995283543061352,0.342014945297128,0.306150498606874,0.409479096134653,0.732346933621934
"WST",NA,1.5,8,"DC-SBM",0.963914496119611,0.883382688121812,0.999956033950617,0.348834819975163,0.300029258931912,0.423210744220005,0.753058664021164
"WST",NA,3,3,"SST",0.999925925925926,0.999748148148148,1,0.554433584738426,0.0401950743540339,0.982077261904762,0.998802777777778
"WST",NA,3,3,"WST",0.999916666666667,0.999716666666667,1,0.514903176191535,0.0140469101623304,0.989381666666666,0.996911111111111
"WST",NA,3,3,"DC-SBM",1,1,1,0.517,0.0108333333333333,0.999366666666667,1
"WST",NA,3,5,"SST",0.99964685211804,0.99924717559831,1,0.201385645647352,0.0166446643039909,0.525475694444444,0.957714285714286
"WST",NA,3,5,"WST",0.998530878216172,0.99514149098549,0.999977272727273,0.210586828664874,0.0352094571262072,0.527601782522859,0.92386626984127
"WST",NA,3,5,"DC-SBM",1,1,1,0.20025873015873,0.0152644444444444,0.525108571428571,0.926816666666667
"WST",NA,3,8,"SST",0.998131499563728,0.994758434058049,0.999901872658918,0.342500940935107,0.228401988718338,0.409527380615077,0.901762698412699
"WST",NA,3,8,"WST",0.997254858825332,0.992515085296652,0.999847757392933,0.347527572538692,0.228148654647456,0.418616892411839,0.90002380952381
"WST",NA,3,8,"DC-SBM",0.997492215879605,0.991473533990659,1,0.35813909089973,0.227458636363637,0.45311260602878,0.903047619047619
"WST",NA,6,3,"SST",1,1,1,0.25,0,0.85,0.999944444444445
"WST",NA,6,3,"WST",1,1,1,0.253005555555556,8.05555555555555e-05,0.851489444444444,0.999944444444445
"WST",NA,6,3,"DC-SBM",1,1,1,0.25,0,0.85,1
"WST",NA,6,5,"SST",0.99999494949495,0.999982828282828,1,0.250018308080808,0.100000833333333,0.470010151515151,0.999963888888889
"WST",NA,6,5,"WST",0.999968975468976,0.999894516594517,1,0.250099567099567,0.10006,0.470023073593074,0.999813888888889
"WST",NA,6,5,"DC-SBM",1,1,1,0.25,0.1,0.47,1
"WST",NA,6,8,"SST",0.974989453691689,0.945353488262219,1,0.349434412264893,0.224470993688406,0.470567299803874,0.9011916005291
"WST",NA,6,8,"WST",0.974979491386382,0.945365053322395,1,0.341992704793156,0.224405250205086,0.445464285714285,0.915178571428571
"WST",NA,6,8,"DC-SBM",0.974979491386382,0.945365053322395,1,0.331992704793156,0.224405250205086,0.439464285714285,0.90625
