"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","ari_mean","ari_sd","ari_median","ari_q25","ari_q75"
"WST","WST",3,"strong",3,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"WST","WST",3,"strong",6,4,1,0,1,1,1
"WST","WST",5,"weak",0.75,4,0.90593813722814,0.118768107186214,0.942716014255216,0.864218695978607,0.984435455504748
"WST","WST",5,"weak",1.5,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"WST","WST",5,"weak",3,4,0.979513888888889,0.040972222222222,1,0.979513888888889,1
"WST","WST",5,"weak",6,4,1,0,1,1,1
"WST","WST",5,"medium",0.75,4,0.75262535530727,0.173138947992384,0.699094736206793,0.646850163430958,0.804869928083104
"WST","WST",5,"medium",1.5,4,0.815461156073461,0.191589634055604,0.82326276835142,0.67081239433061,0.967911530094271
"WST","WST",5,"medium",3,4,1,0,1,1,1
"WST","WST",5,"medium",6,4,1,0,1,1,1
"WST","WST",5,"strong",0.75,4,0.794982076956157,0.187462528879324,0.790582391933952,0.659020644188913,0.926543824701195
"WST","WST",5,"strong",1.5,4,0.963435795736242,0.073128408527516,1,0.963435795736242,1
"WST","WST",5,"strong",3,4,1,0,1,1,1
"WST","WST",5,"strong",6,4,1,0,1,1,1
"WST","WST",8,"weak",0.75,4,0.506730062776273,0.0844897457824281,0.491341930224266,0.457907548136842,0.540164444863698
"WST","WST",8,"weak",1.5,4,0.849342448412298,0.0827124157869018,0.825997187082796,0.786351882147253,0.888987753347841
"WST","WST",8,"weak",3,4,0.975421385044104,0.0293159662371939,0.97991922308949,0.955340608133594,1
"WST","WST",8,"weak",6,4,1,0,1,1,1
"WST","WST",8,"medium",0.75,4,0.541183101297474,0.193533890516804,0.560901553776763,0.404906123966081,0.697178531108155
"WST","WST",8,"medium",1.5,4,0.966992749574795,0.0532895712569963,0.989800152133324,0.956792901708118,1
"WST","WST",8,"medium",3,4,0.988869567258837,0.022260865482327,1,0.988869567258837,1
"WST","WST",8,"medium",6,4,1,0,1,1,1
"WST","WST",8,"strong",0.75,4,0.864286366468218,0.130772969892197,0.853463721884697,0.753329090264756,0.964420998088159
"WST","WST",8,"strong",1.5,4,0.961145867632532,0.077708264734936,1,0.961145867632532,1
"WST","WST",8,"strong",3,4,0.990697557836044,0.0186048843279115,1,0.990697557836044,1
"WST","WST",8,"strong",6,4,1,0,1,1,1
"WST","SST",3,"weak",0.75,4,0.846073415210317,0.244583863281248,0.948963055427808,0.795036470638124,1
"WST","SST",3,"weak",1.5,4,0.874850237087709,0.217975283278001,0.97478135069376,0.849631587781468,1
"WST","SST",3,"weak",3,4,1,0,1,1,1
"WST","SST",3,"weak",6,4,1,0,1,1,1
"WST","SST",3,"medium",0.75,4,0.888800723938349,0.127714448318752,0.923744406121567,0.850373104019277,0.962172026040639
"WST","SST",3,"medium",1.5,4,0.848842821227457,0.24125400670583,0.950833333333333,0.79967615456079,1
"WST","SST",3,"medium",3,4,0.927262713364886,0.114348908487574,0.97478135069376,0.902044064058645,1
"WST","SST",3,"medium",6,4,1,0,1,1,1
"WST","SST",3,"strong",0.75,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"WST","SST",3,"strong",1.5,4,1,0,1,1,1
"WST","SST",3,"strong",3,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"WST","SST",3,"strong",6,4,1,0,1,1,1
"WST","SST",5,"weak",0.75,4,0.900613132696621,0.114796756702954,0.932066005192179,0.864218695978607,0.968460441910193
"WST","SST",5,"weak",1.5,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"WST","SST",5,"weak",3,4,0.934580130100532,0.130839739798935,1,0.934580130100532,1
"WST","SST",5,"weak",6,4,1,0,1,1,1
"WST","SST",5,"medium",0.75,4,0.742475599652173,0.140212857162168,0.709924313887103,0.663094529951424,0.789305383587853
"WST","SST",5,"medium",1.5,4,0.80573795155188,0.1820065794123,0.800463412498555,0.667373916519959,0.938827447530477
"WST","SST",5,"medium",3,4,1,0,1,1,1
"WST","SST",5,"medium",6,4,1,0,1,1,1
"WST","SST",5,"strong",0.75,4,0.763970363304788,0.196502826649015,0.728558964631215,0.603752150607864,0.888777177328139
"WST","SST",5,"strong",1.5,4,0.963435795736242,0.073128408527516,1,0.963435795736242,1
"WST","SST",5,"strong",3,4,1,0,1,1,1
"WST","SST",5,"strong",6,4,1,0,1,1,1
"WST","SST",8,"weak",0.75,4,0.572924809578691,0.088079590449642,0.601100028992426,0.555893989132198,0.618130849438919
"WST","SST",8,"weak",1.5,4,0.776159219941956,0.197679745851157,0.791431599451616,0.700606441358665,0.866984378034907
"WST","SST",8,"weak",3,4,0.980657169380789,0.0223676619496738,0.981395115672088,0.962052285052878,1
"WST","SST",8,"weak",6,4,1,0,1,1,1
"WST","SST",8,"medium",0.75,4,0.60166701649769,0.140677491544161,0.625716607136797,0.567178735322656,0.66020488831183
"WST","SST",8,"medium",1.5,4,0.94143659422661,0.0924139911096065,0.98000851937189,0.9214451135985,1
"WST","SST",8,"medium",3,4,0.988869567258837,0.022260865482327,1,0.988869567258837,1
"WST","SST",8,"medium",6,4,0.991156956527532,0.0176860869449365,1,0.991156956527532,1
"WST","SST",8,"strong",0.75,4,0.899636632237778,0.0779312336056354,0.897813479748498,0.838129037831454,0.959321074154821
"WST","SST",8,"strong",1.5,4,0.961845943294647,0.0531098281249776,0.98000851937189,0.941854462666537,1
"WST","SST",8,"strong",3,4,0.990697557836044,0.0186048843279115,1,0.990697557836044,1
"WST","SST",8,"strong",6,4,1,0,1,1,1
"WST","DCSBM",3,"weak",0.75,4,0.23739067534688,0.47478135069376,0,0,0.23739067534688
"WST","DCSBM",3,"weak",1.5,4,0.866191004023954,0.235197999378833,0.97478135069376,0.840972354717714,1
"WST","DCSBM",3,"weak",3,4,1,0,1,1,1
"WST","DCSBM",3,"weak",6,4,1,0,1,1,1
"WST","DCSBM",3,"medium",0.75,4,0.431428615726284,0.503176005953937,0.388075880758808,0,0.819504496485091
"WST","DCSBM",3,"medium",1.5,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"WST","DCSBM",3,"medium",3,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"WST","DCSBM",3,"medium",6,4,1,0,1,1,1
"WST","DCSBM",3,"strong",0.75,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"WST","DCSBM",3,"strong",1.5,4,0.703506698187549,0.477127838123139,0.907013396375098,0.610520094562648,1
"WST","DCSBM",3,"strong",3,4,1,0,1,1,1
"WST","DCSBM",3,"strong",6,4,1,0,1,1,1
"WST","DCSBM",5,"weak",0.75,4,0,0,0,0,0
"WST","DCSBM",5,"weak",1.5,4,0.979072737018003,0.041854525963994,1,0.979072737018003,1
"WST","DCSBM",5,"weak",3,4,0.934580130100532,0.130839739798935,1,0.934580130100532,1
"WST","DCSBM",5,"weak",6,4,0.979513888888889,0.040972222222222,1,0.979513888888889,1
"WST","DCSBM",5,"medium",0.75,4,0.239303843364757,0.478607686729514,0,0,0.239303843364757
"WST","DCSBM",5,"medium",1.5,4,0.818419636066594,0.188129339205139,0.825826781527983,0.676334887500305,0.967911530094271
"WST","DCSBM",5,"medium",3,4,1,0,1,1,1
"WST","DCSBM",5,"medium",6,4,1,0,1,1,1
"WST","DCSBM",5,"strong",0.75,4,0.25,0.5,0,0,0.25
