"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","vi_mean","vi_sd","vi_median","vi_q25","vi_q75"
"WST","WST",8,"medium",6,4,0,0,0,0,0
"WST","WST",8,"strong",0.75,4,0.589849523957268,0.424566797133647,0.692520011207219,0.437370123171641,0.844999411992845
"WST","WST",8,"strong",1.5,4,0.120632810332186,0.13944526056147,0.116666666666667,0,0.237299476998852
"WST","WST",8,"strong",3,4,0.035375937481971,0.070751874963942,0,0,0.035375937481971
"WST","WST",8,"strong",6,4,0,0,0,0,0
"WST","SST",3,"weak",0.75,4,0.788932006626447,0.724811290875272,0.785382762892314,0.289060149961394,1.28525461955737
"WST","SST",3,"weak",1.5,4,0.297812183227206,0.476227275416741,0.0960670260243822,4.44089209850063e-16,0.393879209251588
"WST","SST",3,"weak",3,4,0.562907291846957,0.750353715763176,0.333333333333334,4.44089209850063e-16,0.89624062518029
"WST","SST",3,"weak",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","SST",3,"medium",0.75,4,0.711349510320333,0.61639507632455,0.534150744255704,0.337093662973585,0.908406591602453
"WST","SST",3,"medium",1.5,4,0.39919067328457,0.572825887226066,0.190931304743971,4.44089209850063e-16,0.590121978028541
"WST","SST",3,"medium",3,4,0.253441459906176,0.389471434089165,0.0960670260243822,4.44089209850063e-16,0.349508485930557
"WST","SST",3,"medium",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","SST",3,"strong",0.75,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"WST","SST",3,"strong",1.5,4,0.166666666666667,0.333333333333333,4.44089209850063e-16,4.44089209850063e-16,0.166666666666667
"WST","SST",3,"strong",3,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"WST","SST",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","SST",5,"weak",0.75,4,1.2473647274266,1.1215309858486,1.25100203734879,0.341381685030363,2.15698507974502
"WST","SST",5,"weak",1.5,4,0.179469017655395,0.259556310286119,0.083766404423532,0,0.263235422078927
"WST","SST",5,"weak",3,4,0.1,0.2,0,0,0.1
"WST","SST",5,"weak",6,4,0,0,0,0,0
"WST","SST",5,"medium",0.75,4,0.824160108437908,0.669360217481149,0.629290513740429,0.499861364179345,0.953589257998992
"WST","SST",5,"medium",1.5,4,0.535999943400009,0.477450443370968,0.588735435913758,0.201046099499161,0.923689279814606
"WST","SST",5,"medium",3,4,0,0,0,0,0
"WST","SST",5,"medium",6,4,0,0,0,0,0
"WST","SST",5,"strong",0.75,4,0.737922922096481,0.611422359224102,0.790456569669773,0.373567865433485,1.15481162633277
"WST","SST",5,"strong",1.5,4,0.1,0.2,0,0,0.1
"WST","SST",5,"strong",3,4,0,0,0,0,0
"WST","SST",5,"strong",6,4,0,0,0,0,0
"WST","SST",8,"weak",0.75,4,1.62786645939422,0.495796932140986,1.53813356785672,1.2562212754481,1.90977875180284
"WST","SST",8,"weak",1.5,4,0.609920871178352,0.451937985325732,0.70088567808197,0.418261417207108,0.892545132053214
"WST","SST",8,"weak",3,4,0.0716135670286107,0.0827041958547848,0.070751874963942,0,0.142365441992553
"WST","SST",8,"weak",6,4,0,0,0,0,0
"WST","SST",8,"medium",0.75,4,1.64497881573244,0.847941293794108,1.59783789055543,0.920735622066718,2.32208108422115
"WST","SST",8,"medium",1.5,4,0.13466641680823,0.185919372810572,0.072258620525476,0,0.206925037333706
"WST","SST",8,"medium",3,4,0.0318144667641655,0.063628933528331,0,0,0.0318144667641655
"WST","SST",8,"medium",6,4,0.0287358206343322,0.0574716412686645,0,0,0.0287358206343322
"WST","SST",8,"strong",0.75,4,0.521373323071376,0.321921974126394,0.618438808010374,0.397025345165254,0.742786785916495
"WST","SST",8,"strong",1.5,4,0.119636993512598,0.158334795799059,0.072258620525476,0,0.191895614038074
"WST","SST",8,"strong",3,4,0.035375937481971,0.070751874963942,0,0,0.035375937481971
"WST","SST",8,"strong",6,4,0,0,0,0,0
"WST","DCSBM",3,"weak",0.75,4,3.28947958417771,2.0648970214193,4.32192809488736,3.28947958417771,4.32192809488736
"WST","DCSBM",3,"weak",1.5,4,0.214700179678858,0.314629554547665,0.0960670260243822,4.44089209850063e-16,0.31076720570324
"WST","DCSBM",3,"weak",3,4,0.562907291846957,0.750353715763176,0.333333333333334,4.44089209850063e-16,0.89624062518029
"WST","DCSBM",3,"weak",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","DCSBM",3,"medium",0.75,4,2.3518049140449,2.28016066960443,2.44657875462174,0.476455573779275,4.32192809488736
"WST","DCSBM",3,"medium",1.5,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"WST","DCSBM",3,"medium",3,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"WST","DCSBM",3,"medium",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","DCSBM",3,"strong",0.75,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"WST","DCSBM",3,"strong",1.5,4,1.2310591583626,2.08004899200707,0.301154269281516,4.44089209850063e-16,1.53221342764411
"WST","DCSBM",3,"strong",3,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","DCSBM",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","DCSBM",5,"weak",0.75,4,3.58496250072116,0,3.58496250072116,3.58496250072116,3.58496250072116
"WST","DCSBM",5,"weak",1.5,4,0.18326488724213,0.213373371952884,0.166529774484259,0,0.349794661726389
"WST","DCSBM",5,"weak",3,4,0.1,0.2,0,0,0.1
"WST","DCSBM",5,"weak",6,4,0.0827633700607267,0.165526740121453,0,0,0.0827633700607267
"WST","DCSBM",5,"medium",0.75,4,2.73060507775264,1.70871484593705,3.58496250072116,2.73060507775264,3.58496250072116
"WST","DCSBM",5,"medium",1.5,4,0.4981629413356,0.485371671193036,0.51306143178494,0.125649606635298,0.885574766485241
"WST","DCSBM",5,"medium",3,4,0,0,0,0,0
"WST","DCSBM",5,"medium",6,4,0,0,0,0,0
"WST","DCSBM",5,"strong",0.75,4,2.68872187554087,1.79248125036058,3.58496250072116,2.68872187554087,3.58496250072116
"WST","DCSBM",5,"strong",1.5,4,0.0670153664997203,0.13403073299944,0,0,0.0670153664997202
"WST","DCSBM",5,"strong",3,4,0,0,0,0,0
"WST","DCSBM",5,"strong",6,4,0,0,0,0,0
"WST","DCSBM",8,"weak",0.75,4,2.91009896362688,0,2.91009896362688,2.91009896362688,2.91009896362688
"WST","DCSBM",8,"weak",1.5,4,0.675234835548648,0.359547711442657,0.722070624136112,0.443466125733086,0.953839333951674
"WST","DCSBM",8,"weak",3,4,0.230955736623437,0.371613913976407,0.0724752590932795,0,0.303430995716717
"WST","DCSBM",8,"weak",6,4,0.182932287331038,0.122183948959973,0.241265620664371,0.175,0.249197907995409
"WST","DCSBM",8,"medium",0.75,4,2.91009896362688,0,2.91009896362688,2.91009896362688,2.91009896362688
"WST","DCSBM",8,"medium",1.5,4,0.129585391691367,0.259170783382734,0,0,0.129585391691367
"WST","DCSBM",8,"medium",3,4,0,0,0,0,0
"WST","DCSBM",8,"medium",6,4,0.0666666666666667,0.133333333333333,0,0,0.0666666666666667
"WST","DCSBM",8,"strong",0.75,4,1.69202267711946,1.4201676715178,1.81232920575881,0.594252919251389,2.91009896362688
"WST","DCSBM",8,"strong",1.5,4,0.0622994769988523,0.124598953997705,0,0,0.0622994769988523
"WST","DCSBM",8,"strong",3,4,0.102042604148638,0.128431110079843,0.070751874963942,0,0.17279447911258
"WST","DCSBM",8,"strong",6,4,0,0,0,0,0
