# source, target, time, date
8,12,181,2010
8,12,182,2010
8,12,183,2010
8,12,186,2010
8,11,189,2010
8,11,191,2010
8,15,199,2010
8,15,205,2010
8,13,210,2010
8,11,211,2010
8,11,212,2010
8,17,213,2010
8,13,214,2010
8,17,215,2010
8,17,216,2010
8,17,217,2010
8,17,218,2010
8,4,238,2010
8,5,244,2010
8,5,245,2010
8,5,246,2010
8,5,247,2010
8,5,248,2010
8,5,249,2010
8,5,250,2010
8,5,251,2010
8,5,252,2010
8,5,253,2010
8,6,256,2010
8,14,271,2010
8,10,272,2010
8,15,276,2010
8,15,277,2010
8,17,279,2010
8,5,282,2010
8,5,283,2010
8,5,284,2010
8,15,290,2010
8,15,293,2010
8,12,301,2010
8,5,303,2010
8,15,306,2010
8,15,307,2010
8,5,308,2010
8,6,342,2011
8,6,343,2011
8,12,344,2011
8,6,348,2011
8,6,349,2011
8,6,350,2011
8,4,351,2011
8,10,352,2011
8,6,354,2011
9,10,10,2009
9,8,11,2009
9,8,13,2009
9,0,14,2009
9,6,16,2009
9,6,17,2009
9,10,40,2009
9,0,41,2009
9,0,73,2010
9,14,77,2010
9,8,78,2010
9,15,83,2010
9,15,86,2010
9,6,92,2010
9,15,193,2010
9,8,195,2010
9,15,197,2010
9,0,207,2010
9,0,208,2010
9,5,254,2010
9,13,264,2010
9,17,268,2010
9,12,287,2010
9,14,294,2010
9,14,295,2010
9,14,296,2010
9,14,297,2010
9,14,298,2010
9,12,302,2010
9,5,309,2011
9,19,316,2011
9,19,317,2011
9,19,318,2011
9,0,321,2011
9,19,323,2011
9,19,324,2011
9,19,326,2011
9,6,336,2011
9,17,360,2011
9,17,363,2011
9,16,382,2011
9,17,477,2011
9,15,490,2011
9,10,491,2011
9,5,499,2011
9,5,501,2011
9,19,502,2011
9,12,526,2012
9,17,536,2012
9,17,537,2012
9,17,538,2012
9,17,539,2012
9,17,540,2012
9,17,541,2012
9,17,542,2012
9,17,543,2012
9,17,544,2012
9,17,545,2012
9,17,546,2012
9,17,547,2012
9,17,548,2012
9,12,552,2012
9,17,553,2012
9,17,554,2012
9,17,555,2012
9,17,556,2012
9,17,557,2012
9,12,560,2012
9,12,561,2012
9,12,562,2012
9,17,563,2012
9,17,564,2012
9,17,566,2012
9,17,567,2012
9,17,568,2012
9,17,569,2012
9,17,570,2012
9,17,571,2012
9,17,572,2012
9,17,573,2012
9,17,574,2012
9,17,575,2012
9,17,576,2012
9,12,583,2012
9,12,584,2012
9,15,619,2012
9,20,621,2012
9,20,623,2012
9,10,653,2012
9,20,657,2012
9,10,759,2012
10,11,20,2009
10,5,34,2009
10,5,35,2009
10,13,42,2009
10,13,109,2010
