gen_model,hierch,psi_mean,K_true,kappa_mean,model,n,ari_mean,ari_sd,nvi_mean,vi_mean,exact_K,mean_K_hat,elpd_mean,looic_mean,psis_tail_mean,best_elpd_rate,violation_rate,thetaW_block_emp,thetaS_block_emp
SST,strong,1.3,3,3,SST,4,0.752226483237865,0.28623877935164616,0.29678411152643946,0.470391687579252,0.5,2.5,-5119.009618373182,10238.019236746377,0.00494350282485876,0,0.27402313654647803,1,1
SST,strong,1.3,3,3,WST,4,0.870779339295492,0.258441321409016,0.17276391434492966,0.2738243257145153,0.75,2.75,-5043.320446655743,10086.640893311494,0.0048022598870056474,0.25,0.2857977096129975,1,1
SST,strong,1.3,3,6,DCSBM,4,1,0,2.8018909573444354e-16,4.44089209850063e-16,1,3,-6507.305942666948,13014.6118853339,0,1,0.2816141351675555,1,1
SST,strong,1.3,3,6,SST,4,0.9873906753468797,0.025218649306240515,0.030305772527953273,0.04803351301219133,1,3,-6591.070184557553,13182.140369115124,0,0,0.28286631833827774,1,1
SST,strong,1.3,3,6,WST,4,1,0,2.8018909573444354e-16,4.44089209850063e-16,1,3,-6508.615255848845,13017.230511697675,5.6497175141243e-4,0,0.28166752372806675,1,1
SST,strong,1.3,5,0.75,DCSBM,4,0.8649889638267733,0.18778944630082453,0.37298224646667755,0.8660379569651813,0.5,3.75,-2801.70949985632,5603.418999712642,0.016949152542372888,0.25,0.35689808969501924,0.9999752426223013,0.9359454166692254
SST,strong,1.3,5,0.75,SST,4,0.7735526259498493,0.27346730820436244,0.4825834704934058,1.1205241182668852,0.25,3.5,-2833.2479248782624,5666.495849756528,0.007344632768361582,0,0.338337969354892,0.9993448146761512,0.9425612526565605
SST,strong,1.3,5,0.75,WST,4,0.7774794991454015,0.19061224478905528,0.31181449965002717,0.7240108471306437,0.75,4.75,-2792.8600600207374,5585.7201200414775,0.005790960451977407,0.75,0.36432737485690725,0.9961236299011205,0.8201326659192217
SST,strong,1.3,5,1.5,DCSBM,4,0.8654888636277862,0.20776781958659712,0.2951245872311894,0.6852580705841348,0.25,4,-3706.194857092445,7412.38971418489,0.019632768361581926,0.75,0.3609136077408335,1,0.8878774117217277
SST,strong,1.3,5,1.5,SST,4,0.7467767527565723,0.14638424514086687,0.5035670525347264,1.1692464869400017,0,3.25,-3781.2612371915548,7562.522474383115,0.025706214689265545,0,0.32242047791954326,1,0.9870542828326123
SST,strong,1.3,5,1.5,WST,4,0.821514351297124,0.2142399768371861,0.23049912171915488,0.5352023865665675,0.75,4.5,-3671.72822260765,7343.4564452153,0.01087570621468926,0.25,0.34158479729777325,0.996790824915825,0.8915607743750693
SST,strong,1.3,5,3,DCSBM,4,0.9756666366717658,0.048666726656468484,0.0719296031894658,0.16701536649972026,0.75,4.75,-4985.409392020065,9970.818784040126,0.0011299435028248599,1,0.338655632012567,1,0.9148611111111112
SST,strong,1.3,5,3,SST,4,0.6744390316646287,0.26422504835708516,0.36788620938717365,0.8542053252976933,0,3.25,-5166.072331824577,10332.144663649138,0.009887005649717522,0,0.3327155172364312,1,0.8333333333333334
SST,strong,1.3,5,3,WST,4,0.9756666366717658,0.048666726656468484,0.0719296031894658,0.16701536649972026,0.75,4.75,-4987.571630751135,9975.143261502282,0.00494350282485876,0,0.334083981315767,1,0.915595690747782
SST,strong,1.3,5,6,DCSBM,4,1,0,0,0,1,5,-6528.436648097785,13056.873296195576,0,1,0.34916451846876473,1,0.95
SST,strong,1.3,5,6,SST,4,0.8241904815960497,0.20573959745226655,0.3339848257678131,0.7754887502163458,0.25,3.25,-7022.68682072665,14045.373641453276,0.0016949152542372874,0,0.3333984152930367,1,1
SST,strong,1.3,5,6,WST,4,0.989303843364757,0.02139231327048602,0.018038113369655308,0.041883202211766,1,5,-6531.962466176077,13063.92493235215,0,0,0.3491191777553115,1,0.968111334225792
SST,strong,1.3,8,0.75,DCSBM,4,0.6327807617903445,0.13308327485808846,0.4992593404921986,1.4977780214765959,0.25,5.25,-2690.5315799606074,5381.063159921217,0.037288135593220355,0,0.35140941433808875,0.9777114928408472,0.7558622937874908
SST,strong,1.3,8,0.75,SST,4,0.6116687104245125,0.21400327279604756,0.4090550116450679,1.2271650349352037,0.25,5.5,-2667.6603765737073,5335.32075314741,0.014548022598870038,0,0.3412059480013035,0.991177421718646,0.7222344145946648
SST,strong,1.3,8,0.75,WST,4,0.6800420858586862,0.21450337362675514,0.32875808695398484,0.9862742608619545,0.5,6.75,-2639.6597364299023,5279.319472859813,0.010734463276836153,1,0.3511760556181045,0.971621833110664,0.6829887923270628
SST,strong,1.3,8,1.5,DCSBM,4,0.865277886553502,0.09010602625715872,0.19195656350476614,0.5758696905142986,0.25,6.5,-3707.450576975225,7414.901153950453,0.009887005649717508,0.25,0.3841399893937095,1,0.7412197681082985
SST,strong,1.3,8,1.5,SST,4,0.5350355577697583,0.2157286883223193,0.35532393968368475,1.0659718190510543,0,5.5,-3820.0836220883725,7640.167244176745,0.013700564971751424,0,0.355440099916731,0.9906816822708805,0.7608643805566795
