gen_model,hierch,psi_mean,K_true,kappa_mean,model,best_elpd_rate,elpd_mean,psis_tail_mean
WST,weak,0.2,3,1.5,DCSBM,0.75,-3567.6622480661226,0.01454802259887005
WST,weak,0.2,3,1.5,SST,0,-3610.115762105565,0.0028248587570621478
WST,weak,0.2,3,1.5,WST,0.25,-3572.949503100965,0.006779661016949152
WST,weak,0.2,3,3,DCSBM,1,-5262.870123319215,0.004378531073446328
WST,weak,0.2,3,3,SST,0,-5330.434954936885,0.002542372881355925
WST,weak,0.2,3,3,WST,0,-5264.117767293397,0.006355932203389834
WST,weak,0.2,3,6,DCSBM,1,-6280.037086042223,0.00155367231638418
WST,weak,0.2,3,6,SST,0,-6321.941454540045,0.002259887005649717
WST,weak,0.2,3,6,WST,0,-6281.467228500287,0.005084745762711865
WST,weak,0.2,5,0.75,DCSBM,0.5,-2526.290208192565,0.02358757062146893
WST,weak,0.2,5,0.75,SST,0.25,-2547.6909729991726,0.007909604519774011
WST,weak,0.2,5,0.75,WST,0.25,-2527.2115292537624,0.012005649717514118
WST,weak,0.2,5,1.5,DCSBM,0.75,-3883.6737539258547,0.012711864406779667
WST,weak,0.2,5,1.5,SST,0,-4013.5924089702326,0.009463276836158182
WST,weak,0.2,5,1.5,WST,0.25,-3885.9638579531675,0.008615819209039553
WST,weak,0.2,5,3,DCSBM,1,-4923.963282767438,0.0015536723163841826
WST,weak,0.2,5,3,SST,0,-5135.62520631261,0.009180790960451985
WST,weak,0.2,5,3,WST,0,-4926.081928684882,0.003954802259887008
WST,weak,0.2,5,6,DCSBM,1,-6146.849585412665,0
WST,weak,0.2,5,6,SST,0,-6513.331887522815,0.00692090395480225
WST,weak,0.2,5,6,WST,0,-6150.683618184858,5.649717514124299e-4
WST,weak,0.2,8,0.75,DCSBM,0,-2701.6937519412622,0.020197740112994363
WST,weak,0.2,8,0.75,SST,0.25,-2713.9005239581124,0.008333333333333331
WST,weak,0.2,8,0.75,WST,0.75,-2673.5014402483275,0.004378531073446328
WST,weak,0.2,8,1.5,DCSBM,0,-3893.382439964367,0.010451977401129953
WST,weak,0.2,8,1.5,SST,0,-4012.744185183565,0.01073446327683617
WST,weak,0.2,8,1.5,WST,1,-3866.52483700403,0.011299435028248577
WST,weak,0.2,8,3,DCSBM,0.25,-4958.631441730688,0.0035310734463276823
WST,weak,0.2,8,3,SST,0,-5275.239295284157,0.007627118644067787
WST,weak,0.2,8,3,WST,0.75,-4929.44958903188,0.00310734463276836
WST,weak,0.2,8,6,DCSBM,0,-6607.9576393184225,0.00155367231638418
WST,weak,0.2,8,6,SST,0,-7349.208381638935,0.001694915254237285
WST,weak,0.2,8,6,WST,1,-6511.82087892938,2.82485875706215e-4
