source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_total_edges,mean_net_edges
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,2,391,-6.067179740690122,2.5032308192406036,2.423739630423175,TRUE,-0.015517083735780373,0.5242966751918159,0.3913043478260869,0.3913043478260869,0.033248081841432436
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,3,354,-2.929568863593588,2.052068834683206,1.4276172485441252,FALSE,-0.008275618258738964,0.5706214689265536,0.27118644067796627,0.27118644067796627,0.011299435028248747
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,4,203,-1.43436456728631,1.1358670010203953,1.2627927090035735,FALSE,-0.007065835306829105,0.5763546798029556,0.3004926108374383,0.3004926108374383,0.03448275862068931
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,5,156,-0.13353563174449154,0.8075014847794728,0.16536889932897136,FALSE,-8.55997639387766e-4,0.6282051282051282,0.20512820512820504,0.20512820512820504,-0.05128205128205132
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,6,104,-0.5589542522852671,0.8364915145892398,0.6682126985588638,FALSE,-0.0053745601181275655,0.4326923076923077,0.1538461538461539,0.1538461538461539,-0.01923076923076928
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,7,24,0.12052417714241252,0.4599189127890223,0.26205527494299924,FALSE,0.005021840714267191,0.25,0.125,0.125,-0.041666666666666644
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,0,294,-2.14582209701606,2.4468214163098723,0.876983535746651,FALSE,-0.007298714615700899,0.7346938775510204,0.360544217687075,0.360544217687075,0.01360544217687074
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,1,490,-10.360590651192915,3.4627754167524527,2.9919903557908314,TRUE,-0.021144062553454936,0.6571428571428571,0.26326530612244903,0.26326530612244903,0.0469387755102041
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,2,391,-15.193084189025337,3.481771859954199,4.363607036914013,TRUE,-0.03885699281080653,0.4782608695652174,0.3913043478260869,0.3913043478260869,0.033248081841432436
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,3,354,-7.558342872255703,2.3899224787948348,3.162589138065744,TRUE,-0.021351251051569754,0.4293785310734463,0.27118644067796627,0.27118644067796627,0.011299435028248747
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,4,203,-2.0322441803081386,1.618064232606714,1.255972500568891,FALSE,-0.010011055075409541,0.35467980295566504,0.3004926108374383,0.3004926108374383,0.03448275862068931
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,5,156,-1.7386201797685412,1.8728590825277276,0.9283240773363423,FALSE,-0.011145001152362468,0.4230769230769231,0.20512820512820504,0.20512820512820504,-0.05128205128205132
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,6,104,-3.2925062763892,1.4432828867509995,2.2812619110318844,TRUE,-0.031658714196049986,0.2403846153846154,0.1538461538461539,0.1538461538461539,-0.01923076923076928
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,7,24,-0.5861781145503275,0.5259720337653658,1.114466315545247,FALSE,-0.024424088106263647,0.16666666666666666,0.125,0.125,-0.041666666666666644
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,0,294,1.7221477071306,1.8613742809793115,0.925202268414571,FALSE,0.005857645262348986,0.6394557823129252,0.360544217687075,0.360544217687075,0.01360544217687074
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,1,490,-4.404035146755348,2.7265190725105546,1.6152592480125771,FALSE,-0.008987826830112958,0.5816326530612245,0.26326530612244903,0.26326530612244903,0.0469387755102041
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,2,391,-9.125904448335232,2.7019792150233433,3.3774887673428644,TRUE,-0.023339909075026165,0.42710997442455245,0.3913043478260869,0.3913043478260869,0.033248081841432436
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,3,354,-4.628774008662108,2.179373711195959,2.123901001871776,TRUE,-0.013075632792830829,0.2655367231638418,0.27118644067796627,0.27118644067796627,0.011299435028248747
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,4,203,-0.5978796130218332,1.8012903239586402,0.3319174066887184,FALSE,-0.0029452197685804543,0.27586206896551724,0.3004926108374383,0.3004926108374383,0.03448275862068931
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,5,156,-1.605084548024049,2.0689636658736204,0.7757915590781057,FALSE,-0.010289003512974685,0.17307692307692307,0.20512820512820504,0.20512820512820504,-0.05128205128205132
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,6,104,-2.733552024103932,1.179390825614992,2.317766057471682,TRUE,-0.02628415407792243,0.18269230769230768,0.1538461538461539,0.1538461538461539,-0.01923076923076928
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,7,24,-0.7067022916927399,0.3005858754806407,2.3510828330263815,TRUE,-0.029445928820530827,0.125,0.125,0.125,-0.041666666666666644
