source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,3,3,3-3,0,136,-0.791847335735501,0.3448290122015303,2.2963477773520906,TRUE,-0.005822406880408096,0.4411764705882353,1.7205882352941178,0.9411764705882352,0.7794117647058825,1.7205882352941178,0.16176470588235273
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,4,1-4,3,15,-0.6497279439136627,2.3512945357735586,0.27632775648836655,FALSE,-0.04331519626091086,0.8666666666666667,0.6666666666666667,0.2666666666666667,0.4,0.6666666666666667,-0.13333333333333336
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,2,5,2-5,3,12,-0.4433143273915546,0.35572587568915853,1.2462245725945809,FALSE,-0.036942860615962886,0.4166666666666667,0.5,0.16666666666666669,0.33333333333333337,0.5,-0.16666666666666663
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,2,7,2-7,5,16,-0.39713218649564413,0.5872977235731883,0.6762024958643552,FALSE,-0.02482076165597775,0.4375,0.875,0.75,0.125,0.875,0.625
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,3,8,3-8,5,136,0.37466255222915285,0.19574413065081112,1.9140423316064334,FALSE,0.0027548717075673,0.6323529411764706,0.46323529411764713,0.3308823529411764,0.13235294117647062,0.46323529411764713,0.19852941176470587
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,6,6,6-6,0,190,-0.34939539704978523,0.5876500761613689,0.5945636888743313,FALSE,-0.0018389231423672904,0.5684210526315789,0.3368421052631579,0.14210526315789473,0.1947368421052632,0.3368421052631579,-0.05263157894736844
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,6,1-6,5,60,-0.3479736770221669,1.0535976275813732,0.33027188740066865,FALSE,-0.005799561283702782,0.85,0.7166666666666666,0.19999999999999996,0.5166666666666667,0.7166666666666666,-0.31666666666666676
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,2,2,2-2,0,6,0.22496030239238562,1.724975690271089,0.13041360736917512,FALSE,0.03749338373206427,0.3333333333333333,1,0.5,0.5,1,0
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,2,3,2-3,1,68,-0.21915827571882227,1.0598902149404354,0.20677450610404843,FALSE,-0.003222915819394449,0.5,0.4411764705882353,0.10294117647058822,0.338235294117647,0.4411764705882353,-0.23529411764705876
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,8,8,8-8,0,28,-0.1722503502658597,0.17821004865638548,0.9665580115405448,FALSE,-0.006151798223780703,0.4642857142857143,0.6785714285714285,0.5,0.17857142857142855,0.6785714285714285,0.32142857142857145
